Census_geoid,Urban_name,CUHI_day_summer,Tree Area (%),Median Income (K)
25023522102,"Boston, MA--NH--RI",-0.1930980479,81.49347343,62.808
25025130300,"Boston, MA--NH--RI",0.5468510535,65.12347715,79.536
25021443101,"Boston, MA--NH--RI",0.07596784758,79.69176125,68.75
25025090400,"Boston, MA--NH--RI",0.9332137724,32.93089128,35.197
25009252501,"Boston, MA--NH--RI",0.8732099682,57.64817609,50.06
25017368700,"Boston, MA--NH--RI",1.105452908,27.86800782,40.286
25017324102,"Boston, MA--NH--RI",0.1149955401,72.15763512,89.333
25021402102,"Boston, MA--NH--RI",0.5856830058,69.6555878,46.825
25025070600,"Boston, MA--NH--RI",0.8243502292,28.70648896,94.674
25017383800,"Boston, MA--NH--RI",0.3236889773,77.8184956,66.912
25017356500,"Boston, MA--NH--RI",0.2274599932,71.03599588,77.961
25027740102,"Boston, MA--NH--RI",0.1677625324,74.4140656,82.188
25021419100,"Boston, MA--NH--RI",0.4280616818,56.0924776,66.287
25005610204,"Boston, MA--NH--RI",-0.03146097702,86.3429547,72.083
25025090901,"Boston, MA--NH--RI",0.4310537912,9.518448849,41.712
25025091100,"Boston, MA--NH--RI",0.7168479554,15.94948105,56.445
25017368102,"Boston, MA--NH--RI",0.1957545512,49.25088854,67.182
25025100300,"Boston, MA--NH--RI",0.7925360201,42.00995112,43.869
25023509102,"Boston, MA--NH--RI",-0.2939961652,63.17147407,58.582
25017384002,"Boston, MA--NH--RI",0.1162180777,75.02619135,66.705
25025082100,"Boston, MA--NH--RI",0.8644188104,33.46178513,44.352
25023511701,"Boston, MA--NH--RI",0.4616555553,68.64278773,51.178
25009204400,"Boston, MA--NH--RI",0.1075309633,4.918434196,52.159
25009254100,"Boston, MA--NH--RI",0.4171171252,76.16858848,100.927
25017358700,"Boston, MA--NH--RI",0.2476335381,90.59571171,145.994
25017373300,"Boston, MA--NH--RI",1.066549804,55.45269199,74.375
25017370201,"Boston, MA--NH--RI",0.8854783454,47.36836253,74.167
25025091900,"Boston, MA--NH--RI",0.8257675248,46.38973207,39.821
25025040600,"Boston, MA--NH--RI",0.9885374949,5.850547054,82.323
25009206600,"Boston, MA--NH--RI",0.7255364594,20.73790511,39.758
25017339900,"Boston, MA--NH--RI",0.7484426105,16.57173036,49.939
25025100601,"Boston, MA--NH--RI",0.8749576362,29.52133782,45.984
25023501101,"Boston, MA--NH--RI",-0.1969037981,51.02490169,94.323
25017354800,"Boston, MA--NH--RI",1.115046325,42.11125884,76.667
25017383902,"Boston, MA--NH--RI",0.04162055044,85.12275473,93.925
25017335200,"Boston, MA--NH--RI",0.4418715653,66.24951643,69.162
25017322300,"Boston, MA--NH--RI",0.1803867645,70.62135665,50.283
25023540103,"Boston, MA--NH--RI",-0.2758781372,88.47691817,63.929
25017383501,"Boston, MA--NH--RI",0.6255799114,55.18613694,43.924
25017351404,"Boston, MA--NH--RI",1.118218149,17.02820293,45.978
33015003301,"Boston, MA--NH--RI",-0.4687951607,81.32006338,52.161
25009205800,"Boston, MA--NH--RI",0.6541460872,13.2512222,43.25
25025030400,"Boston, MA--NH--RI",0.6941803432,6.779301295,68.631
25017352101,"Boston, MA--NH--RI",1.17450426,4.889692976,100.691
25025092300,"Boston, MA--NH--RI",0.7944930407,30.26220612,38.274
25005610100,"Boston, MA--NH--RI",0.3726437332,57.97975909,55.176
25009210100,"Boston, MA--NH--RI",0.3365103295,70.85243263,53.934
25005616100,"Boston, MA--NH--RI",-0.02309163044,77.94213353,55.905
25027746100,"Boston, MA--NH--RI",-0.254733468,86.23606099,80.815
25025100500,"Boston, MA--NH--RI",0.8743410936,37.56578702,43.341
25017341600,"Boston, MA--NH--RI",0.7255183199,49.91811098,55.372
25017337300,"Boston, MA--NH--RI",0.3911698641,65.01687881,64.129
25025180301,"Boston, MA--NH--RI",0.2904750654,17.68836381,66.081
25025010600,"Boston, MA--NH--RI",0.7804060444,3.779695649,120.673
25009265102,"Boston, MA--NH--RI",-0.01344637606,88.06600968,81.192
25021420100,"Boston, MA--NH--RI",0.1171462317,59.65930883,52.19
